"DATE","TIME PERIOD","HICP - Food incl. alcohol and tobacco (ICP.M.PL.N.FOOD00.4.ANR)"
"2020-04-30","2020Apr","6.7"
"2020-05-31","2020May","5.7"
"2020-06-30","2020Jun","5.3"
"2020-07-31","2020Jul","3.8"
"2020-08-31","2020Aug","3.1"
"2020-09-30","2020Sep","3.0"
"2020-10-31","2020Oct","2.7"
"2020-11-30","2020Nov","2.2"
"2020-12-31","2020Dec","1.5"
"2021-01-31","2021Jan","1.5"
"2021-02-28","2021Feb","1.0"
"2021-03-31","2021Mar","0.9"
"2021-04-30","2021Apr","1.2"
"2021-05-31","2021May","1.5"
"2021-06-30","2021Jun","1.5"
"2021-07-31","2021Jul","2.4"
"2021-08-31","2021Aug","3.1"
"2021-09-30","2021Sep","3.6"
"2021-10-31","2021Oct","3.9"
"2021-11-30","2021Nov","5.1"
"2021-12-31","2021Dec","6.8"
"2022-01-31","2022Jan","7.5"
"2022-02-28","2022Feb","6.5"
"2022-03-31","2022Mar","7.8"
"2022-04-30","2022Apr","10.1"
"2022-05-31","2022May","10.8"
"2022-06-30","2022Jun","11.3"
"2022-07-31","2022Jul","12.3"
"2022-08-31","2022Aug","14.2"
"2022-09-30","2022Sep","15.7"
"2022-10-31","2022Oct","18.0"
"2022-11-30","2022Nov","18.3"
"2022-12-31","2022Dec","17.8"
"2023-01-31","2023Jan","17.4"
"2023-02-28","2023Feb","20.4"
"2023-03-31","2023Mar","21.0"
"2023-04-30","2023Apr","18.3"
"2023-05-31","2023May","17.9"
"2023-06-30","2023Jun","17.3"
"2023-07-31","2023Jul","15.5"
"2023-08-31","2023Aug","13.0"
"2023-09-30","2023Sep","11.3"
"2023-10-31","2023Oct","9.3"
"2023-11-30","2023Nov","9.0"
"2023-12-31","2023Dec","8.0"
"2024-01-31","2024Jan","6.9"
"2024-02-29","2024Feb","4.4"
"2024-03-31","2024Mar","2.0"
"2024-04-30","2024Apr","2.9"
"2024-05-31","2024May","2.4"
"2024-06-30","2024Jun","3.2"
"2024-07-31","2024Jul","3.7"
"2024-08-31","2024Aug","4.3"
"2024-09-30","2024Sep","4.7"
"2024-10-31","2024Oct","4.8"
"2024-11-30","2024Nov","4.4"
"2024-12-31","2024Dec","4.3"
"2025-01-31","2025Jan","5.0"
"2025-02-28","2025Feb","5.8"
"2025-03-31","2025Mar","6.4"
"2025-04-30","2025Apr","5.7"
"2025-05-31","2025May","5.8"
"2025-06-30","2025Jun","5.4"
"2025-07-31","2025Jul","5.5"
"2025-08-31","2025Aug","5.7"
"2025-09-30","2025Sep","5.2"
"2025-10-31","2025Oct","4.7"
"2025-11-30","2025Nov","4.3"
"2025-12-31","2025Dec","4.3"
